Time,AccelCorrectedX,AccelCorrectedY,AccelCorrectedZ,GyroCorrectedX,GyroCorrectedY,GyroCorrectedZ,Pitch,Yaw,Roll
Wed Dec 22 21:09:46 2021,0.12450100481510162,1.0271180868148804,-0.01891000010073185,0.006482296623289585,-0.08837731927633286,0.0075342124328017235,-0.013105339370667934,2.6820831298828125,-0.03811737149953842
Wed Dec 22 21:09:46 2021,-0.3710630238056183,0.9254310131072998,-0.304390013217926,0.6356549859046936,-0.33638131618499756,-2.926975965499878,0.2604787051677704,2.6743624210357666,-0.38876616954803467
Wed Dec 22 21:09:47 2021,-0.9290300607681274,-0.3240320086479187,0.04337100312113762,-0.0448288731276989,-0.39135754108428955,-0.5471150875091553,-0.06943588703870773,3.0926363468170166,-1.8452872037887573
Wed Dec 22 21:09:47 2021,-1.0035110712051392,-0.09741700440645218,0.08125200122594833,0.32045778632164,-0.5416259765625,1.6177276372909546,-0.11714748293161392,3.0932652950286865,-1.6708570718765259
Wed Dec 22 21:09:48 2021,0.300913006067276,0.8863300085067749,0.3693550229072571,-0.1242390125989914,-0.3168342113494873,4.009805679321289,-0.4031153619289398,2.93571400642395,0.21386410295963287
Wed Dec 22 21:09:49 2021,0.8342360258102417,-0.3825310170650482,0.31622400879859924,0.02480771578848362,0.05944771692156792,-0.005904427729547024,-0.32621684670448303,2.65659499168396,1.9544274806976318
Wed Dec 22 21:09:49 2021,0.8906000256538391,-0.38680100440979004,0.3173830211162567,-0.006956343073397875,-0.006523787975311279,-0.019343066960573196,-0.32887959480285645,2.652993679046631,1.9417911767959595
Wed Dec 22 21:09:50 2021,0.903410017490387,0.07716500014066696,0.392535001039505,-0.14134274423122406,0.6507478356361389,-1.981384515762329,-0.4251883924007416,2.5865583419799805,1.4326494932174683
Wed Dec 22 21:09:50 2021,-0.32171401381492615,0.6861280202865601,0.4160810112953186,1.016823649406433,0.637309193611145,-4.831597328186035,-0.42115887999534607,2.882775068283081,-0.4770297408103943
Wed Dec 22 21:09:51 2021,-0.9872240424156189,-0.03958900272846222,0.01945899985730648,-0.21097932755947113,-0.3033955693244934,-0.11341354995965958,-0.03496510908007622,3.0226757526397705,-1.6391897201538086
Wed Dec 22 21:09:51 2021,-0.5658360123634338,0.34611400961875916,0.6886900067329407,-0.389346718788147,-1.194010853767395,1.609175682067871,-0.7224801182746887,3.1383981704711914,-1.0495989322662354
Wed Dec 22 21:09:52 2021,0.7011950016021729,0.4207170307636261,0.8809620141983032,-0.44432297348976135,-0.06760851293802261,-0.13418234884738922,-1.037651777267456,2.144876003265381,0.9676666855812073
Wed Dec 22 21:09:52 2021,0.24698901176452637,0.298412024974823,0.9419620633125305,0.013812463730573654,0.053339242935180664,-0.07554101943969727,-1.2111226320266724,2.2878763675689697,0.7817477583885193
Wed Dec 22 21:09:53 2021,0.5586380362510681,0.3109780251979828,0.7193730473518372,0.12865175306797028,-1.234326720237732,3.0397799015045166,-0.8916172981262207,2.44577956199646,0.9788463711738586
Wed Dec 22 21:09:53 2021,0.5719970464706421,-0.792451024055481,-0.11297200620174408,-0.8022794723510742,-1.0584027767181396,3.385519504547119,0.05268373340368271,2.040440797805786,2.480882167816162
Wed Dec 22 21:09:54 2021,-0.12419600784778595,-0.9335440397262573,-0.23082400858402252,-0.11324376612901688,0.024018574506044388,-0.19282367825508118,0.20944201946258545,2.175204277038574,-3.0567069053649902
Wed Dec 22 21:09:54 2021,-0.0903410017490387,-0.9543450474739075,-0.2244190126657486,0.1249866634607315,-0.07616037875413895,-0.09020134806632996,0.20743411779403687,2.1896142959594727,-3.0777571201324463
Wed Dec 22 21:09:55 2021,-0.012139000929892063,-1.0622540712356567,-0.15853901207447052,0.4890516400337219,0.014245018362998962,-1.1823962926864624,0.18429577350616455,2.170401096343994,-3.1216115951538086
Wed Dec 22 21:09:55 2021,0.6777710318565369,0.24491500854492188,0.6491620540618896,0.8983193039894104,1.433854103088379,-3.7332944869995117,-0.7715170383453369,2.120835304260254,1.2110631465911865
Wed Dec 22 21:09:56 2021,0.038430001586675644,0.0007930000429041684,1.048651099205017,-2.1803507804870605,0.378309965133667,-0.9563827514648438,-1.3883401155471802,0.0,2.3309762477874756
Wed Dec 22 21:09:56 2021,0.1660420000553131,-0.2820030152797699,0.9812460541725159,-0.2818376123905182,-1.9526830911636353,0.628154993057251,-1.2031134366989136,-0.1988714635372162,2.6569159030914307
Wed Dec 22 21:09:57 2021,0.6359250545501709,-0.7266320586204529,-0.2025810033082962,1.2110731601715088,-2.757779836654663,1.6384963989257812,0.21122661232948303,1.3775888681411743,2.4612979888916016
Wed Dec 22 21:09:57 2021,-0.14030000567436218,-0.9811240434646606,0.01256600022315979,0.09688769280910492,-0.15068374574184418,0.13459044694900513,-0.01984107866883278,2.263453722000122,-3.014491558074951
Wed Dec 22 21:09:58 2021,-0.17159301042556763,-0.9709980487823486,0.03080500103533268,0.04068974032998085,-0.022405818104743958,0.034411489963531494,-0.03746822103857994,2.2674384117126465,-2.9959726333618164
Wed Dec 22 21:09:58 2021,0.7287670373916626,-0.15323200821876526,0.4858650267124176,0.503711998462677,4.226647853851318,-6.037410259246826,-0.4959285259246826,1.6754696369171143,1.735381007194519
Wed Dec 22 21:09:59 2021,-0.2640690207481384,0.7810440063476562,0.3883260190486908,2.1065752506256104,1.276255488395691,-0.26001688838005066,-0.47992560267448425,2.6775503158569336,-0.3701571524143219
