VelocityX,VelocityY,VelocityZ,Time
0,0,0,1645244624.280916
0.0,0.0,0.0,1645244624.2978954
0.0,0.0,0.0,1645244624.3038979
0.0,0.0,0.0,1645244624.3098993
0.0,0.0,0.0,1645244624.315837
0.0,0.0,0.0,1645244624.3208263
0.0,0.0,0.0,1645244624.325827
0.0,0.0,0.0,1645244624.3308294
0.0,0.0,0.0,1645244624.335899
0.0,0.0,0.0,1645244624.3409004
0.0,0.0,0.0,1645244624.3459017
0.0,0.0,0.0,1645244624.350904
0.0,0.0,0.0,1645244624.3559053
0.0,0.0,0.0,1645244624.3619065
0.0,0.0,0.0,1645244624.3669078
0.0,0.0,0.0,1645244624.3719084
0.0,0.0,0.0,1645244624.3778439
0.0,0.0,0.0,1645244624.3829076
0.0,0.0,0.0,1645244624.3879094
0.0,0.0,0.0,1645244624.3938458
0.0,0.0,0.0,1645244624.399852
0.0,0.0,0.0,1645244624.4058547
0.0,0.0,0.0,1645244624.410908
0.0,0.0,0.0,1645244624.4168606
0.0,0.0,0.0,1645244624.421922
0.0,0.0,0.0,1645244624.427938
0.0,0.0,0.0,1645244624.4329407
0.0,0.0,0.0,1645244624.438953
0.0,0.0,0.0,1645244624.444865
0.0,0.0,0.0,1645244624.450199
0.0,0.0,0.0,1645244624.4552126
0.0,0.0,0.0,1645244624.461865
0.0,0.0,0.0,1645244624.4678676
0.0,0.0,0.0,1645244624.4738665
0.0,0.0,0.0,1645244624.479867
0.0,0.0,0.0,1645244624.4858675
0.0,0.0,0.0,1645244624.491871
0.0,0.0,0.0,1645244624.4978714
0.0,0.0,0.0,1645244624.503873
0.0,0.0,0.0,1645244624.5098739
0.0,0.0,0.0,1645244624.5158753
0.0,0.0,0.0,1645244624.5225163
0.0,0.0,0.0,1645244624.5279324
0.0,0.0,0.0,1645244624.5338728
0.0,0.0,0.0,1645244624.5398753
0.0,0.0,0.0,1645244624.5458765
0.0,0.0,0.0,1645244624.551878
0.0,0.0,0.0,1645244624.557879
0.0,0.0,0.0,1645244624.5638804
0.0,0.0,0.0,1645244624.569882
0.0,0.0,0.0,1645244624.5758832
0.0,0.0,0.0,1645244624.5818846
0.0,0.0,0.0,1645244624.5879269
0.0,0.0,0.0,1645244624.5939293
0.0,0.0,0.0,1645244624.5998683
0.0,0.0,0.0,1645244624.6058698
0.0,0.0,0.0,1645244624.6118793
0.0,0.0,0.0,1645244624.6178823
0.0,0.0,0.0,1645244624.623885
0.0,0.0,0.0,1645244624.6298862
0.0,0.0,0.0,1645244624.6358874
0.0,0.0,0.0,1645244624.6438854
0.0,0.0,0.0,1645244624.649886
0.0,0.0,0.0,1645244624.6558886
0.0,0.0,0.0,1645244624.6618905
0.0,0.0,0.0,1645244624.6678953
0.0,0.0,0.0,1645244624.6739376
0.0,0.0,0.0,1645244624.67994
0.0,0.0,0.0,1645244624.685941
0.0,0.0,0.0,1645244624.6919413
0.0,0.0,0.0,1645244624.697944
0.0,0.0,0.0,1645244624.703954
0.0,0.0,0.0,1645244624.7108805
0.0,0.0,0.0,1645244624.7168703
0.0,0.0,0.0,1645244624.7228827
0.0,0.0,0.0,1645244624.7288854
0.0,0.0,0.0,1645244624.734887
0.0,0.0,0.0,1645244624.7408884
0.0,0.0,0.0,1645244624.746892
0.0,0.0,0.0,1645244624.7528908
0.0,0.0,0.0,1645244624.759958
0.0,0.0,0.0,1645244624.7659595
0.0,0.0,0.0,1645244624.771962
0.0,0.0,0.0,1645244624.77896
0.0,0.0,0.0,1645244624.7849607
0.0,0.0,0.0,1645244624.7909636
0.0,0.0,0.0,1645244624.7969646
0.0,0.0,0.0,1645244624.802966
0.0,0.0,0.0,1645244624.8089683
0.0,0.0,0.0,1645244624.8149688
0.0,0.0,0.0,1645244624.82097
0.0,0.0,0.0,1645244624.8269713
0.0,0.0,0.0,1645244624.8339062
0.0,0.0,0.0,1645244624.8399668
0.0,0.0,0.0,1645244624.8459694
0.0,0.0,0.0,1645244624.851971
0.0,0.0,0.0,1645244624.8579721
0.0,0.0,0.0,1645244624.8639736
0.0,0.0,0.0,1645244624.8699749
0.0,0.0,0.0,1645244624.875976
0.0,0.0,0.0,1645244624.8839114
0.0,0.0,0.0,1645244624.8899608
0.0,0.0,0.0,1645244624.8969402
0.0,0.0,0.0,1645244624.903942
0.0,0.0,0.0,1645244624.9109435
0.0,0.0,0.0,1645244624.917915
0.0,0.0,0.0,1645244624.9249175
0.0,0.0,0.0,1645244624.9329767
0.0,0.0,0.0,1645244624.9399905
0.0,0.0,0.0,1645244624.9464123
0.0,0.0,0.0,1645244624.9524271
0.0,0.0,0.0,1645244624.9599202
0.0,0.0,0.0,1645244624.9669228
0.0,0.0,0.0,1645244624.9739215
0.0,0.0,0.0,1645244624.9809225
0.0,0.0,0.0,1645244624.987925
0.0,0.0,0.0,1645244624.994407
0.0,0.0,0.0,1645244625.001093
0.0,0.0,0.0,1645244625.0079262
0.0,0.0,0.0,1645244625.0149288
0.0,0.0,0.0,1645244625.0219312
0.0,0.0,0.0,1645244625.0289326
0.0,0.0,0.0,1645244625.0359337
0.0,0.0,0.0,1645244625.0424109
0.0,0.0,0.0,1645244625.0484135
0.0,0.0,0.0,1645244625.055919
0.0,0.0,0.0,1645244625.062919
0.0,0.0,0.0,1645244625.069921
0.0,0.0,0.0,1645244625.0769215
0.0,0.0,0.0,1645244625.0839217
0.0,0.0,0.0,1645244625.0902689
0.0,0.0,0.0,1645244625.0969863
0.0,0.0,0.0,1645244625.103924
0.0,0.0,0.0,1645244625.1104345
0.0,0.0,0.0,1645244625.1174374
0.0,0.0,0.0,1645244625.124929
0.0,0.0,0.0,1645244625.1319313
0.0,0.0,0.0,1645244625.138453
0.0,0.0,0.0,1645244625.1449912
0.0,0.0,0.0,1645244625.1519935
0.0,0.0,0.0,1645244625.1589956
0.0,0.0,0.0,1645244625.1669977
0.0,0.0,0.0,1645244625.1739986
0.0,-0.013489469595345752,0.0,1645244625.1810002
0.0,-0.013477986068261488,0.0,1645244625.187996
0.0,-0.012983999425352692,0.0,1645244625.1949968
0.0,-0.012986652469779614,0.0,1645244625.2019992
0.0,0.0,0.0,1645244625.2089956
0.0,0.0,0.0,1645244625.2159963
0.0,0.0,0.0,1645244625.2229984
0.0,0.0,0.0,1645244625.2300007
0.0,0.0,0.0,1645244625.2370017
0.0,0.0,0.0,1645244625.245011
0.0,0.0,0.0,1645244625.2520077
0.0,0.0,0.0,1645244625.2590127
0.0,0.0,0.0,1645244625.266017
0.0,0.011414870395029624,0.0,1645244625.2730148
0.0,0.023001950794909704,0.0,1645244625.2800176
0.0,0.014903337112033056,0.0,1645244625.289031
0.0,0.0,0.0,1645244625.2960212
0.0,0.0,0.0,1645244625.3040342
0.0,0.0,0.0,1645244625.3110356
0.0,0.0,0.0,1645244625.3190265
0.0,0.0,0.0,1645244625.3269603
0.0,0.0,0.0,1645244625.3349636
0.0,0.0,0.0,1645244625.3429627
0.0,0.0,0.0,1645244625.349966
0.0,0.0,0.0,1645244625.3579643
0.0,0.0,0.0,1645244625.3649676
0.0,0.0,0.0,1645244625.3720264
0.0,0.0,0.0,1645244625.3790305
0.0,0.0,0.0,1645244625.3869672
